Date,BTC_Price_USD,Block_Reward_BTC,Fees_Per_Block_BTC,Total_BTC_Per_Block,Blocks_Per_Day,Daily_BTC_Reward,Daily_USD_Reward
2020-02-03,9293.52,12.5,0.1,12.6,144,1814.4,16862165.38
2020-02-04,9180.96,12.5,0.1,12.6,144,1814.4,16657939.07
2020-02-05,9613.42,12.5,0.1,12.6,144,1814.4,17442596.19
2020-02-06,9729.8,12.5,0.1,12.6,144,1814.4,17653752.31
2020-02-07,9795.94,12.5,0.1,12.6,144,1814.4,17773759.63
2020-02-08,9865.12,12.5,0.1,12.6,144,1814.4,17899272.17
2020-02-09,10116.67,12.5,0.1,12.6,144,1814.4,18355692.99
2020-02-10,9856.61,12.5,0.1,12.6,144,1814.4,17883835.59
2020-02-11,10208.24,12.5,0.1,12.6,144,1814.4,18521823.99
2020-02-12,10326.05,12.5,0.1,12.6,144,1814.4,18735593.62
2020-02-13,10214.38,12.5,0.1,12.6,144,1814.4,18532970.86
2020-02-14,10312.12,12.5,0.1,12.6,144,1814.4,18710303.65
2020-02-15,9889.42,12.5,0.1,12.6,144,1814.4,17943372.37
2020-02-16,9934.43,12.5,0.1,12.6,144,1814.4,18025036.31
2020-02-17,9690.14,12.5,0.1,12.6,144,1814.4,17581794.69
2020-02-18,10142.0,12.5,0.1,12.6,144,1814.4,18401637.71
2020-02-19,9633.39,12.5,0.1,12.6,144,1814.4,17478816.86
2020-02-20,9608.48,12.5,0.1,12.6,144,1814.4,17433618.1
2020-02-21,9686.44,12.5,0.1,12.6,144,1814.4,17575079.29
2020-02-22,9663.18,12.5,0.1,12.6,144,1814.4,17532876.77
2020-02-23,9924.52,12.5,0.1,12.6,144,1814.4,18007041.15
2020-02-24,9650.17,12.5,0.1,12.6,144,1814.4,17509277.17
2020-02-25,9341.71,12.5,0.1,12.6,144,1814.4,16949589.69
2020-02-26,8820.52,12.5,0.1,12.6,144,1814.4,16003955.95
2020-02-27,8784.49,12.5,0.1,12.6,144,1814.4,15938586.17
2020-02-28,8672.46,12.5,0.1,12.6,144,1814.4,15735302.49
2020-02-29,8599.51,12.5,0.1,12.6,144,1814.4,15602948.75
2020-03-01,8562.45,12.5,0.1,12.6,144,1814.4,15535716.72
2020-03-02,8869.67,12.5,0.1,12.6,144,1814.4,16093129.11
2020-03-03,8787.79,12.5,0.1,12.6,144,1814.4,15944559.16
2020-03-04,8755.25,12.5,0.1,12.6,144,1814.4,15885518.51
2020-03-05,9078.76,12.5,0.1,12.6,144,1814.4,16472507.03
2020-03-06,9122.55,12.5,0.1,12.6,144,1814.4,16551947.28
2020-03-07,8909.95,12.5,0.1,12.6,144,1814.4,16166220.72
2020-03-08,8108.12,12.5,0.1,12.6,144,1814.4,14711366.05
2020-03-09,7923.64,12.5,0.1,12.6,144,1814.4,14376660.64
2020-03-10,7909.73,12.5,0.1,12.6,144,1814.4,14351413.19
2020-03-11,7911.43,12.5,0.1,12.6,144,1814.4,14354498.91
2020-03-12,4970.79,12.5,0.1,12.6,144,1814.4,9018997.9
2020-03-13,5563.71,12.5,0.1,12.6,144,1814.4,10094790.04
